36; http://www.just-eat.co.uk/restaurants-241piza-m34/menu; 88 Manchester Road; Manchester; 2-4-1 Pizza; M34; 3PR; 5; Pizza
37; http://www.just-eat.co.uk/restaurants-241piza-m34/menu; 88 Manchester Road; Manchester; 2-4-1 Pizza; M34; 3PR; 5; Pizza
38; http://www.just-eat.co.uk/restaurants-280degreesafrican-nw6/menu; 280 Kilburn High Road; London; 280 Degrees African Nigerian Restaurant; NW6; 2BY; 2; African
39; http://www.just-eat.co.uk/restaurants-280degreesafrican-nw6/menu; 280 Kilburn High Road; London; 280 Degrees African Nigerian Restaurant; NW6; 2BY; 2; African
40; http://www.just-eat.co.uk/restaurants-3chefsfishbar-de21/menu; 47 Roosevelt Avenue; Derby; 3 Chef Fish Bar; DE21; 6JR; 4; Fish Chips
41; http://www.just-eat.co.uk/restaurants-3chefs-de23/menu; 558 Burton Road; Littleover; 3 Chefs; DE23; 6FP; 4; American
42; http://www.just-eat.co.uk/restaurants-3in1dunoon-pa23/menu; 45 Argyll Street DUNOON; Argyll; 3 In 1 Dunoon; PA23; 7HG; 5; Curry
43; http://www.just-eat.co.uk/restaurants-3in1-indian-cuisine-g78/menu; 58 Aurs Drive; Barrhead; 3 in 1 Indian Chipshop Barrhead; G78; 2LW; 4; English
44; http://www.just-eat.co.uk/restaurants-3in1xtra/menu; 67-69 Elmbank Street; Glasgow; 3 In 1 Xtra; G2; 4PQ; 4; Curry
45; http://www.just-eat.co.uk/restaurants-3in1xtra/menu; 67-69 Elmbank Street; Glasgow; 3 In 1 Xtra; G2; 4PQ; 4; Curry
46; http://www.just-eat.co.uk/restaurants-3in1xtra/menu; 67-69 Elmbank Street; Glasgow; 3 In 1 Xtra; G2; 4PQ; 4; Curry
47; http://www.just-eat.co.uk/restaurants-321/menu; 148 St.Georges Road; Cheltenham; 321 Pizzas, Kebabs Burgers; GL50; 3EL; 5; Pizza
48; http://www.just-eat.co.uk/restaurants-328chineseonline-cf81/menu; 2-4 Commercial Street; Aberbargoed; 328 Chinese Online; CF81; 9BW; 5; Chinese
49; http://www.just-eat.co.uk/restaurants-333-Chinese-FY4/menu; 276 Waterloo Road; Blackpool; 333 Chinese Takeaway; FY4; 3AF; 5; Chinese
50; http://www.just-eat.co.uk/restaurants-333Chinese-G13/menu; 1550 Great Western Road; Glasgow; 333 Chinese Takeaway; G13; 1HJ; 5; Chinese
51; http://www.just-eat.co.uk/restaurants-333Chinese-M11/menu; 1276 Ashton Old Road; Manchester; 333 Chinese Takeaway1; M11; 1JJ; 4; Chinese
52; http://www.just-eat.co.uk/restaurants-350wok-ws10/menu; 136A Crankhall Lane; Wednesbury; 350 Wok; WS10; 0ED; 5; Chinese
53; http://www.just-eat.co.uk/restaurants-350wok-ws10/menu; 136A Crankhall Lane; Wednesbury; 350 Wok; WS10; 0ED; 5; Chinese
54; http://www.just-eat.co.uk/restaurants-350wok-ws10/menu; 136A Crankhall Lane; Wednesbury; 350 Wok; WS10; 0ED; 5; Chinese
55; http://www.just-eat.co.uk/restaurants-4in1-Express-CH41/menu; 122 Duke Street; Birkenhead; 4 in 1 Express; CH41; 8BT; 5; Pizza
56; http://www.just-eat.co.uk/restaurants-4inlove-pe30/menu; 10-12 Railway Road; Norfolk; 4 in Love; PE30; 1NE; 5; Chinese
57; http://www.just-eat.co.uk/restaurants-4500-miles-from-delhi-bristol/menu; 8 Colston Avenue; Bristol; 4500 Miles From Delhi; BS1; 4ST; 4; Curry
58; http://www.just-eat.co.uk/restaurants-4seasonspizzaandgrill-dy3/menu; 12-14 High Street; Dudley; 4 Seasons Pizza Grill; DY3; 1RW; 5; Pizza
59; http://www.just-eat.co.uk/restaurants-4550milesfromdelhi-ng1/menu; 41 Mount Street; Nottinghamshire; 4550 Miles From Delhi - Collection Only; NG1; 6HE; 8; Curry
60; http://www.just-eat.co.uk/restaurants-5in1-pr3/menu; 23 Berry Lane; Longridge; 5 In 1 Takeaway; PR3; 3JA; 5; Curry
61; http://www.just-eat.co.uk/restaurants-5n1-dd8/menu; 126 Castle Street; Forfar; 5 'N' 1; DD8; 2HS; 4; Curry
62; http://www.just-eat.co.uk/restaurants-5-star-chinese-archway/menu; 362 Hornsey Road; London; 5 Star Chinese; N19; 4HD; 5; Chinese
63; http://www.just-eat.co.uk/restaurants-5-star-chinese-archway/menu; 362 Hornsey Road; London; 5 Star Chinese; N19; 4HD; 5; Chinese
64; http://www.just-eat.co.uk/restaurants-5-star-falafel--gh-butchers-kingsbury/menu; 423 Kingsbury Road; London; 5 Star Falafel @ GH Butchers; NW9; 9DT; 8; Lebanese
65; http://www.just-eat.co.uk/restaurants-5-star-falafel--gh-butchers-kingsbury/menu; 423 Kingsbury Road; London; 5 Star Falafel @ GH Butchers; NW9; 9DT; 8; Lebanese
